model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,full,35,64,generalized_gamma,0.12259011142331627,-277.23409189594895,0.0,True
distilgpt2,full,35,64,lognormal,0.16950301538605067,-283.0598581222888,5.8257662263398515,False
distilgpt2,full,36,64,generalized_gamma,0.07090162043204859,-136.2668648150223,0.0,True
distilgpt2,full,36,64,lognormal,0.11498110617970414,-140.22518915561636,3.9583243405940607,False
distilgpt2,full,37,64,generalized_gamma,0.07410554215364057,-142.7412396929093,0.0,True
distilgpt2,full,37,64,lognormal,0.11384721490129468,-145.09257364972595,2.35133395681666,False
distilgpt2,full,38,64,generalized_gamma,0.05181040241751306,-191.566093575322,0.0,True
distilgpt2,full,38,64,lognormal,0.17776571150789033,-207.87879121676332,16.312697641441332,False
distilgpt2,full,39,64,generalized_gamma,0.08453795253791913,-90.13501420776615,0.0,True
distilgpt2,full,39,64,lognormal,0.18074674970223342,-111.88935784767077,21.75434363990462,False
distilgpt2,full,40,64,generalized_gamma,0.08583208857896263,-124.71069107345258,0.0,True
distilgpt2,full,40,64,lognormal,0.15088034324222482,-131.43431412095913,6.72362304750655,False
distilgpt2,full,41,64,generalized_gamma,0.07781433788597686,-109.18815385168914,0.0,True
distilgpt2,full,41,64,lognormal,0.15220709625345497,-118.17000650710355,8.981852655414414,False
distilgpt2,full,42,64,generalized_gamma,0.08752697050278696,-129.7636278344927,0.0,True
distilgpt2,full,42,64,lognormal,0.14674449816640311,-142.44142152642024,12.677793691927548,False
distilgpt2,full,43,64,generalized_gamma,0.06152616259772414,-168.99189040152243,0.0,True
distilgpt2,full,43,64,lognormal,0.1193131845092904,-174.15877668809748,5.16688628657505,False
distilgpt2,full,44,64,generalized_gamma,0.0708395032206115,-114.25143707042227,0.0,True
distilgpt2,full,44,64,lognormal,0.15503473904729825,-124.07928311656812,9.82784604614585,False
distilgpt2,full,45,64,generalized_gamma,0.640625,-101.14579334482289,0.0,True
distilgpt2,full,45,64,lognormal,0.1505586246901357,-125.60397443150904,24.458181086686153,False
distilgpt2,full,46,64,generalized_gamma,0.14198596690047227,-164.64370360081494,0.0,True
distilgpt2,full,46,64,lognormal,0.10745600192473637,-175.05928621513752,10.415582614322574,False
distilgpt2,full,47,64,generalized_gamma,0.12027626504423958,-158.56340706729992,0.0,True
distilgpt2,full,47,64,lognormal,0.10373682682121821,-160.1727273301843,1.6093202628843812,False
distilgpt2,full,48,64,generalized_gamma,0.08367075710347094,-116.3415262354919,0.0,True
distilgpt2,full,48,64,lognormal,0.13085304427821504,-121.44043766146837,5.098911425976468,False
distilgpt2,full,49,64,generalized_gamma,0.05686856545918706,-111.47407818031238,0.0,True
distilgpt2,full,49,64,lognormal,0.11765437397394485,-121.49713346292388,10.023055282611509,False
distilgpt2,full,50,64,generalized_gamma,0.09319458396949154,-102.24740816676074,0.0,True
distilgpt2,full,50,64,lognormal,0.1278838589339688,-110.0012602201702,7.75385205340946,False
distilgpt2,full,51,64,generalized_gamma,0.058085097692165744,-117.01440956603264,0.0,True
distilgpt2,full,51,64,lognormal,0.11662461266714719,-123.05022097466772,6.035811408635084,False
distilgpt2,full,52,64,generalized_gamma,0.07159914524231262,-123.89076050791618,0.0,True
distilgpt2,full,52,64,lognormal,0.09851035567923383,-126.97378348031222,3.083022972396037,False
distilgpt2,full,53,64,generalized_gamma,0.10540979347426838,-101.0435793594987,0.0,True
distilgpt2,full,53,64,lognormal,0.14097702880768703,-118.31092620991075,17.267346850412054,False
distilgpt2,full,54,64,generalized_gamma,0.06372456491620807,-112.35699814318728,0.0,True
distilgpt2,full,54,64,lognormal,0.11867856367603957,-120.11631623310632,7.759318089919034,False
distilgpt2,full,55,64,generalized_gamma,0.11891931901674946,-83.86972190223881,0.0,True
distilgpt2,full,55,64,lognormal,0.15288643195560792,-93.71096170970468,9.841239807465868,False
distilgpt2,full,56,64,generalized_gamma,0.08017408745131871,-107.47961391671544,0.0,True
distilgpt2,full,56,64,lognormal,0.15638511252088327,-118.12849611360662,10.64888219689118,False
distilgpt2,full,57,64,generalized_gamma,0.07127099892294497,-115.23918747719512,0.0,True
distilgpt2,full,57,64,lognormal,0.13969154110322907,-125.70174771973137,10.462560242536256,False
distilgpt2,full,58,64,generalized_gamma,0.13758521098939047,-109.60326309611538,0.0,True
